html,Work,2024-01-18,10
css,Work,2024-01-18,10
web development,Study,2024-01-18,10
python,Study,2024-01-18,10
texting,Social,2024-01-18,10
texting,Social,2024-01-18,10
praying,Spiritual,2024-01-18,10
praying,Spiritual,2024-01-18,10
reading,Creative,2024-01-18,10
reading,Creative,2024-01-18,10
video games,Chill,2024-01-18,10
video games,Chill,2024-01-18,10
running,Sport,2024-01-18,10
walking,Sport,2024-01-18,10
sfs,Other,2024-01-19,10
sfs,Other,2024-01-19,10
dgd,Spiritual,2024-01-19,10
hhh,Social,2024-01-20,10
hhh,Social,2024-01-20,10
fhdfgh,Sport,2024-01-20,10
fhdfgh,Sport,2024-01-20,10
aaa,Work,2024-01-20,10
aaa,Work,2024-01-20,10
cc,Creative,2024-01-20,10
gg,Work,2024-01-20,10
hh,Work,2024-01-20,10
hh,Work,2024-01-20,10
kk,Spiritual,2024-01-20,10
ll,Sport,2024-01-20,10
ll,Sport,2024-01-20,10
oo,Social,2024-01-20,10
oo,Social,2024-01-20,10
jj,Creative,2024-01-20,10
jj,Creative,2024-01-20,10
hh,Creative,2024-01-20,10
hh,Creative,2024-01-20,10
hh,Creative,2024-01-20,10
hh,Creative,2024-01-20,10
uu,Study,2024-01-20,10
uu,Study,2024-01-20,10
mm,Social,2024-01-20,10
mm,Social,2024-01-20,10
zz,Study,2024-01-20,10
xx,Study,2024-01-20,10
vv,Sport,2024-01-20,10
running,Sport,2024-01-21,17
class,Study,2024-01-21,15
o,Other,2024-01-21,5
oo,Other,2024-01-21,5
ooo,Other,2024-01-21,5
oooo,Other,2024-01-21,5
aa,Work,2024-01-21,10
aa,Study,2024-01-21,10
aa,Sport,2024-01-21,10
aa,Social,2024-01-21,10
aa,Spiritual,2024-01-21,10
aa,Creative,2024-01-21,10
aa,Creative,2024-01-21,10
aa,Chill,2024-01-21,10
aa,Other,2024-01-21,10
aa,Creative,2024-01-21,10
dg,Work,2024-01-22,13
sd,Study,2024-01-22,14
gg,Sport,2024-01-22,20
hh,Social,2024-01-22,8
fgf,Spiritual,2024-01-22,30
dfgd,Chill,2024-01-22,7
gg,Study,2024-01-23,100
hh,Chill,2024-01-25,10
